,review_id,text,breakfast/brunch,atmosphere,mexican food,fast food,waiting time,service quality,Japanese food/seafood,pizza/wings,healthy,flavor,bar/alcohol,price,location
443690,F5ceYjv8weXSHxd4mivrqg,"Wow. This was fun and it was good. First time we had steak like this. Beer was good nice wine selection and the steak, excellent! I like the concept and the ability to make my steak the way I like it. 5 's",0,0,0,0,0,0,0,0,0,1,0,0,0
560283,caJuCGt-oFLfMYdCMG1HxQ,"The food here is horrible. I ordered a pasta here and there was a disgusting amount of sauce on it. So much sauce that it was closer to soup than pasta. The worst part is the sauce is gross too. It was greasy and not appetizing in the slightest. I really wanted to like this place, but unfortunately their food is no good.",0,0,0,0,0,0,0,0,0,1,0,0,0
621789,RSdDB6GoEjyRkG29AikWEQ,"Ordered cheese eggs. No cheese in them. Dirty knife. Had to wait to get waited on while the waiter was b.s.ing with other workers. This is the second time I had bad service on 3rd shift. I used to work at a waffle house, so I tend to be understanding, but I doubt I will be coming back. You should try to hire people who aren't hood rats.",-1,-1,0,0,-1,-1,0,0,0,-1,0,0,0
472042,7hVkH5tuIK68otxP_0UBsQ,"Best Portuguese egg tarts in Philly! I'm sure there's better out there in NY or Cali but for $1.10 it's definitely worth it. I've also had their taro bun, coconut bun, pork bun, and a few others. They all taste good! Taking one star off for the tiny amount of pork they have in the buns though.",0,0,0,0,1,0,0,0,0,1,0,1,0
342414,RAa-P0TDn0zmSSnDc5PidQ,"We have been to oreganos three times in the last few months and the service is SO awful! Servers waiting 20 min just to come to the table. Charging us for another persons tab without ever apologizing, never bringing us napkins or silverware after asking several times after having our food delivered - we grabbed them ourselves. We had a server mutter ""oh fuck"" under his breath in front of my 9 and 12 year old when he realized he screwed up, again. There was the time we tried to get a pizza to go and aside from unpleasant girl who answered, the hold time, the bartender cut us off easily four times trying to place the order to the point we just said to forget it. The last time we went in person, my husband came in first, we met him there. When we came in to find him, three servers standing around the front shrugged their shoulders and kept on their conversation while we circled the place looking for him. My husband worked at Oreganos for years so he keeps wanting to give them a chance but even he is ready to move on now. Please get new managers ASAP.",0,0,0,0,0,0,0,0,0,0,0,0,0
466267,ye911Qq9l-O7DL4CJvka0w,"I had a groupon so had to try out the place. Wow! Were we ever impressed! 
 Generally I've found Thai food to have tiny portions, but everything that came out of the kitchen was a good size and looked delish! 
 We ordered the tom yum soup, green curry and pad thai. It came to $57 and we were stuffed! The 4 year old came with us and ate undistracted the whole time! She had 3 bowls of tom yum! 
 The decor is nice with live plants, thai sculptures and dividers to keep the dining areas intimate. 
 The service was great, the food came quickly and the flavors were AH MAZE ING! 
 We wilm definitely be going back. If you haven't been there yet, what are you waiting for? 
 I don't remember a meal I enjoyed more!",0,0,0,0,-1,-1,0,1,0,0,0,0,0
333706,r3toZruvqrPS2hCZQwAbKg,"They accept Priority Pass, which is the only reason I would come back due to the $28 credit offered. I ordered the 6-piece toasted ravioli since I was in St. Louis and I was immediately told they contain meat which I said was fine. I love all kinds of ravioli and have had many kinds, but I hated these. I ate half of one single piece, that's it. The rest was left on my plate. I didn't even care for the sauce which was comparable to bad jarred sauce, at best. 
 

 I did order dessert, 5-layer chocolate cake, which was four stars and quite good but didn't quite make up for my meal.",0,0,0,0,0,0,0,0,0,-1,0,0,0
581209,AgOA65VXtYk75_4A0vs0Pw,"The food and service were excellent!! It's in a strip mall and looks kind of divy by WOW the food!!! The bar and restaurant area a very small and there is a patio out back. It's a little quieter there. We had The Three Amigos (chips fresh salsa guacamole and queso). Probably some of the best queso we've ever had! We also had enchiladas and they were really yummy, good quality meats and everything was fresh. Highly recommend.",0,1,1,0,0,1,0,0,0,1,0,0,1
433926,bLTnnoDBSrIDiQ8h6ypVag,"I love this place! My friends and I went one Sunday night without a reservation, and were seated immediately. Our waitress was prompt and very friendly. We ordered drinks (sangrias) and a bunch of small plates. The chips + salsa verde was amazing! The queso was kind of weird and chunky, (not what I'm used to) so I didn't love that. The Brussels sprouts stole the show - we ordered an extra at the end because we all wanted a few more bites. Would visit here again soon!",0,0,1,0,1,1,0,0,0,1,0,0,0
303430,EcxgUEzY1ZORNIlDmlCR_g,"Can only speak to the happy hour bar experience I encountered with drinks; no food. While the back bar wasn't ""slammed"", there was about 4 or 5 groups of people 2-6 people each that an ambitious (read: wants to make the shift worth their while) bartender could easily handle. 
 

 Instead, our first round took 15 minutes (3 cocktails, a rum and coke, and a cup of wine) and we only had time for one more round in the hour and half we were there due to her being too caught up with her friends/patrons' instagrams and never looking our way. Once I walked over to get her attention, it took another 10 minutes for her to *start* making the drinks. 
 

 The cherry on top is that she attempted to charge us the full price of the drinks vs half the price as advertised blaming it on the computer. Boils down to her not paying attention at all throughout our visit. 
 

 Leaving this as two stars as I hope to have a better experience when I go back for food, but in attentive staff with no hustle, a Tuesday night or not, is not a good start.",0,-1,0,0,-1,-1,0,0,0,0,1,0,0
202594,ZJ4uSLRzbb7lTDtiVHikbQ,"Oh my goodness! This place has the most amazing food! My husband was out of town so I took my daughter, her boyfriend, and my son out to dinner. They suggested this restaurant. Boy, am I glad they did.
 

 I had a Korean Iced Coffee that was out of this world delicious. So much so that I went home and ordered the little contraption and Korean Coffee beans to make Korean Coffee at home.
 

 We all raved about our food. As a matter of fact, we raved about it for weeks. The food was so tasty and delicious I forgot to take pictures of it. I ordered General Chicken with a mild spice. It was so outstanding. I think it is the best I have ever had in Reno. We shared a couple of appetizers and left stuffed. 
 

 The wait staff was on point and made sure we got more tea and water. There was so much food we had leftovers to take home. I found the wait staff to be cordial, accommodating, and kind. All the food was delivered hot and ready to eat. It is a little harder to tell if people are smiling behind the masks. 
 

 I highly recommend this restaurant. It is one of my favorites now.",0,1,0,0,0,1,0,0,0,1,0,0,0
312594,tUpmfEJFFY6eFnRAmtAaug,"Two stars is for the food. The food is good and fresh.
 The service is an unorganized mess unfortunately. The servers are not dressed appropriately, they do not check back on your tables, the manager is walking around aimlessly, also not dresses appropriately, and he is also your bartender if you order an alcoholic beverage. We witnessed other tables leave their table to go look for their servers as well ALL of the tables were looking for their servers.
 The atmosphere is cold and bright, their first aid kit is beautifully displayed at the sushi bar. 
 We have gone here twice and unfortunately had the same experience each time.",0,-1,0,0,0,-1,1,0,0,1,0,0,0
603950,d__5rZIkz-eO7Nc7mO0dJQ,My bf and I did a day trip to SB and stumbled upon this place. So glad we decided to give it a shot. We were very skeptical but ended up being pleasantly surprised! The food was so flavorful and delicious! We definitely recommend trying the enchiladas!,0,0,1,0,0,0,0,0,0,1,0,0,0
248042,bmWs5yb0IdH4e6KH15S_ig,"As always with Florida, a great find in an unassuming strip mall! Fresh bagels that rival even what you can find in NYC! The place has a clean fresh quazi-hipsterish vibe. 
 

 For starters the staff are extremely friendly and helpful. I must have conversed with 3 different staff about various things and each of them gave great advice or solved my issue promptly.
 

 I had to go with an iced coffee just so I could use the cool coffee cubes machine. While filling up with ice I asked an employee what her favorite flavor was. So upon her advice, I tried the caramel which was excellent! She said it tastes really good mixed with the vanilla. I opted not to try that but instead diluted the caramel with some cold brew which created the perfect leave of sweetness. She also pointed out that they use brown sugar which helps to not fall into a diabetic coma.
 

 For my meal I chose the lox sandwich on everything bagel. I know it's a boring choice, but it's a staple and favorite of mine. I decided to mix it up with some fresh jalapeño which was delicious.
 

 Overall this place is great and everything is fresh! It's a great place to grab a quick Sunday brunch when other places may be packed or pretentious. 18 Bagels is casual and no nonsense.",1,1,0,0,1,1,0,0,0,1,0,0,0
498021,w_FCt1zsx74ceL7clr-y-Q,"I usually am very satisfied with my experience here, but I've always gone through the drive thru until today. This was my first in restaurant experience. When paying, it asks you for the tip amount (mind you, even on $2 Tuesdays, it's still $31 for 2 drinks, a sandwich & a waffle which is fine & paying a tip is fine as well) my point is that it's not inexpensive & for my tip or for customer service purposes in general esp when it's an adult & a young child, I would expect that when the food is brought to the table it be brought with utensils & a napkin for each of us....but instead, when I asked if we may please have a napkin when the food was brought to the table, I'm told ""napkins & utensils are over there."" What is the tip for exactly if we have to get our own utensils & napkins which are not exactly high maintenance requests?!?! I think you should address this behavior in your next team meeting as a matter of good customer service. I do like it here a lot & will return.",0,0,0,0,0,-1,0,0,0,1,0,0,0
102025,dMwy0TbE0fYvqQ0-XjSgxQ,"I am suprised this place does not have over 1k reviews on yelp yet as if you live in Philly I don't see how you can not have come here at least once. Beautiful view of the boats and scenery however this place feels like a total money grab.
 

 My friend and I were sitting for a minute and a waitress came by and said do you have reservations we will need this table very soon. I mean I get it but I just spent $12 for my drink and my buddy was drinking as well, what are we dirt, you're cleary going to get a nice amount of money from us if you treat us with respect.
 

 I went to this place many times over the years but I am done with the place but definitely if you haven't checked it out before it is a location every person who lives in Philly should check out once for themselves.
 

 As always people SYOY!!!!",0,1,0,0,0,-1,0,0,0,0,0,-1,0
189911,OjA7uO6HhxcKIXjr7ipdEw,We wait every year for Orange Dream . Eegee's is a Tucson Classic. Ranch fries is our next favorite. French fries with the delicious ranch dressing and bacon bits. Drive through is quick and friendly.,0,0,0,1,1,0,0,0,0,1,0,0,0
604073,ZkuyXsEq-bjUfhxwv9i-tA,Please stick to your lunch/dinner menu - it's good. The breakfast is some of the worst breakfast I've ever had. I'm convinced that they sold me food from the day before.,-1,0,0,0,0,0,0,0,0,-1,0,0,0
13414,cd-WWBmZw8JG6mTP_htvcw,"Glad to try Pinefish finally. The menu had tons of options, specially the crab cakes, gnocchi, or salmon, but settled on a variety over pasta instead. 
 

 Toasted cauliflower, brussel sprouts as an appetizer were charred and flavored really well. Wasabi mashed potatoes were creamy and unique. The seafood bucatini was a huge portion of pasta with shrimp, scallops, mussels and calamari. And a spicy red sauce to tie it all together! The whole fish had a lot of small bones to avoid but the meat was good. 
 

 Sat outside in the triangular table booths which were very cozy and cute. Quick service with lots of attentiveness. 
 

 Finished the dinner off with the banana cheesecake to go, which was a pretty large slice of perfectly layered crumbles, creaminess, and sweetness. A great option for seafood in this neighborhood!",0,1,0,0,0,1,1,0,0,1,0,0,0
319855,QCEv1dO_bejSO725OPBxwg,"Lord have mercy I'm kicking myself in the butt for not reading the spot on reviews. Thank God the area opened a Chickfla because this operation is a joke and to blame here aren't the staff members but thier regional or area management which lacks quality control, crowd control and a long list of missed opportunities, coaching opportunities. Never again!",0,0,0,-1,0,-1,0,0,0,-1,0,0,0
458424,bWl4UzZ8Vv0bKLdkYn9SFQ,"Decent food with unfriendly service. Overpriced for the quality in my opinion; or at least the experience could be greatly improved. The to go boxes were styrofoam, and the waiter told us we couldn't get a pizza box for our pizza to go even though we had only eaten one slice- so we had to stack it all on top of each other in a styrofoam container. Waiter seemed like he would rather be anywhere but there, barely said any words to us. Didn't even ask if we wanted anything else i.e dessert or drinks. Will not be back. Unwelcoming atmosphere, my whole party was disappointed.",0,-1,0,0,0,-1,0,-1,0,1,0,0,0
230257,_xY28WNg3RcS36TRuaJNUg,This restaurant was in the Autograph hotel where I stayed in Tampa this week. My daughter and I went here for dinner because the reviews were good and it was convenient. We weren't disappointed! Service was nice and food was excellent. When we got done it was only an elevator ride back to our room. Would certainly recommend!,0,1,0,0,0,1,0,0,0,1,0,0,1
69669,i1KK6YWeJMMXaFo9aFEDXg,"So excited to see the Poke Spot is finally open! Went inside for a quick lunch to go. I've always liked DYI everything, so naturally created my own bowl. To start, you can choose your bases among white and brown rice, mixed spring, and Zucchini noodles (or you can mix some of them together!); then you can choose two or three proteins (three is $1 more expensive), among the goodies of raw tuna, raw salmon, snow crab (extra $1.95), chicken, tofu, Marinated tuna or salmon, spicy tuna or salmon, or shrimp ceviche; then, top it with unlimited toppings from edamame, black seaweed, green seaweed, mango, fish flakes, and more!! To finish it off, marry it with any of the sauces from sweet to firey (Some of the choices looking very interesting, sesame ginger, anyone?)
 

 Overall, I liked the options they have, though it will really keep me a loyal if they were to have eel too... 
 

 Service was friendly and tentative. The price is in the acceptable range in Center City Phila...",0,0,0,1,0,1,0,0,1,1,0,0,0
631111,r9Y2F9LdQfiRJJFhESpFtg,"Our go to place for brunch when in Reno. Every trip we always come in at 1:40, right before they are about to close but they always welcome us. Service is great and the food is fantastic. This location is smaller but the staff is nice so we prefer this location the best. 
 We love the joe's special which is an egg scramble with ground chuck, spinach, mushroom and we substitute the onions for broccoli. We don't get hash browns and they are super nice to substitute it for cottage cheese. 
 I love the vegetarian omelette sans onion which is equally delicious. 
 My hubby loved the ground chuck with two eggs when he is hungry and trying to avoid veggies. Either way whatever you order, everything here is delicious, prepared fresh, hot to order. 
 Coffee and tea refills are unlimited so yes have that second cup and/or second tea bag. 
 One side note is that they serve all plates with some fruit usually cantaloupe. I am deathly allergic to melons and most fruits so make sure to say no fruit or you will end up with some to garnish your plate. 
 Staff is super accommodating and make sure to check the specials board! This place is legit, reasonably priced, and staff is great. Don't eat in the hotel, drive a little and eat here!",1,0,0,0,0,1,0,0,0,1,0,0,0
393534,ekEGbub5Eo0ztXf4807Pnw,Loved the look of place and bar area looked inviting fir sure. But dined at table with family instead. The sauce flavor of my cashew chicken and the brown rice were good but the chicken was so tough I could not chew it without fear of choking.,0,1,0,0,0,0,0,0,0,-1,1,0,0
166107,CRvy82K8ElR2YCLLH_CNaQ,"We have been going to Penn Station most Tuesdays to get the free chocolate chip cookie when we buy a sandwich. Two weeks ago when we went, the menu had been changed (lengths of the sandwiches and prices were noticed), but then we found out the bread had been changed. yes, the wonderful bread at Penn Stations has been changed.
 

 While this bread isn't bad, it is not as tasty as the original bread, nor does it hold up while eating a juicy Penn Station Philly Cheese. It falls apart.  
 

 Bring back the original bread!",0,0,0,1,0,0,0,0,0,-1,0,0,0
640716,csLXTpvSBi-AMMrWt7fzPw,"I was in the mood for a good burger and came across the reviews for Lucky's Last Chance. They surely did not disappoint!
 

 We visited on a Saturday evening and the place was pretty empty. The staff were lovely and made us feel at home. They answered all of our questions and helped us narrow down our food order by recommending the Amal Attack and Incomparable Bacon Cheddar Burger. We also added an order of junkyard tots and onion strings. 
 

 The burgers were juicy, well flavored, and were exactly what we were looking for. Add to that some amazingly crispy tots with toppings and it was even better. 
 

 We'll definitely come back during our next trip to Philly.
 

 To the owners, have you ever thought about opening a place in NYC? (A girl can dream)",0,0,0,1,0,1,0,0,0,1,0,0,0
408394,TEorCi_2-c4LpfOZdiJQag,"What a gem of a place. That's all I should need to say about ITV, but I will say more. I am a fan of any place that has an upscale but friendly atmosphere, and ITV is serving that and more. From the bartenders to the food runners to the drink menu to the small bites, I can't say nicer things about my first experience at ITV. As thrilled as I am with my experience there, I'm cursing myself for not taking notes on what I was consuming - I can literally only remember a delicious cocktail with grapefruit juice in it (even then I can only verify a citrus juice), the crackling pork rinds, and the best green salad I've ever had (or at least rivaling Amada). I feel like there was a fish-based dish that I consumed, but this is what happens when you drink more than you eat (which is super tempting given the amazing drink menu). Since we sat at the bar, we were waited on by the bartender, and he was both informative and a skilled drink maker. I can completely understand why people frequent ITV, and I may have to start coming for the happy hour (people rave about it).",0,1,0,0,0,1,0,0,0,1,1,0,0
16540,Gwl0Y6o44y_j3bUK4P8i3g,"I can say, with confidence, I've never been to this neck of Wedgewood-Houston before. I've driven past it (usually at light speed and yelling at a Nashville driver) many times but never thought to venture up the hill and see what's there. So, *this* is Fort Houston? Good to know after so long. 
 

 If you're not like me and knew where Fort Houston was, The Loading Dock may come as a surprise. Actually, it may come as a surprise anyway as it looks to be a fairly new coffee addition to the Fort Houston work/art space. As a concept and a business, it makes perfect sense. I hope, as words grows, more people have the chance to frequent the space (although I was pretty impressed by the constant stream of traffic I witnessed).
 

 The walls are white and adorned with art. The majority of the tables are wood four tops but there is some quirky, comfortable seating by the door/window. Once you get settled, make your way to the counter and gets to eating/drinking. The menu isn't too terribly huge but there's enough variety to satisfy most any consumer. They even have gluten-free bread which put the sandwich options in play! Unfortunately, the delicious-looking sweets were off limits. 
 

 I need to fully recognize that I am not a coffee man. I'll drink it if that's the only option but I prefer tea and should stick to it. I ordered a brown sugar cinnamon latte and it came out piping hot and nicely flavored. BUT I also ordered an avocado toast (I can never get these things due to the whole gluten-free PITA) and the tastes did NOT go well together. This is not one's fault but my own. Before the barista gave me a well-earned and very gracious side-eye, I was about to order a grilled cheese with flavored coffee. Yeah, I see it now, too. Needing to fix my drink choice, I went with a 'Mexican Coke' and all was well. My toast was delicious: creamy avocado, diced tomatoes, sliced almonds, and everything bagel seasoning -- the secret weapon. Once I corrected the drink choice, everything was coming up Milhouse.
 

 The space is comfortable. The people are nice. The product is good (I am going to try tea with a flavored shot next time). The Loading Dock is a hit. In a city with a ton of coffee options, you might not be inclined to try a new spot but you should. You should try The Loading Dock.",1,1,0,0,0,0,0,0,0,0,0,0,0
45744,4toJIqtP8AvoY1FoNUW9Pw,"The service is excellent! The two lady staffs with super nice and very helpful when ordering. Ordered the naan pizza with lamb and tikka sauce (build your own mech) with chicken samosa as an app. The pizza is amazing and very cheesy. It melts in your mouth. Lamb was tender and well seasoned, paired well with the curry sauce. Also comes with a few other sauces on the side. My fav being their hot sauce (not spicy to me)The samosa was alright. The filling was really dry and needs more seasoning imo. The outside wasn't crunchy anymore so I'm not sure how long they been in the warmer. Will come back for the naan pizza for sure and maybe try their rice bowls!",0,1,0,0,0,1,0,0,0,1,0,0,0
327585,OTFdxh3uGPFu2t6GpUQcHw,"Came in here literally to use the bathroom. We found that it was only for paying customers so we decided to make a purchase.
 

 We love whole bean coffee so we picked up a bag of Garden District blend 16 oz $11.95
 

 My issue was at the counter. The 2 women that were working seemed really frazzled and it wasn't that busy.
 

 I overheard one guy complaining about his burnt bagel. My purchase was Interrupted way to many times. 
 

 Bathroom - I liked that they had a changing table in there, that was really nice.
 

 High chairs = yes
 Changing table in the bathroom = yes",0,1,0,0,0,-1,0,0,0,1,0,1,0
475558,9emMNOCd1a12f4bQfJ0uSA,"Have you ever been to a place when you're doing a review, and decided to go back a second time to sample more of the menu? I did just that with Stixx.
 

 Thursday night I went in and had pho with a friend of mine. He is not a smoker, so we didn't stay very long. We did however stay long enough to enjoy a huge bowl of pho. The chef uses his mother'a meatball recipe and they simmer the savory broth for about 5 hours. It is honestly one of the best bowls of pho I have ever had. The broth and savory the flank steak and meatballs are delicious, it does not have the tripe that some people object to. This does not impact the quality of the pho or the flavor. Everything is very fresh and delightful. The bowls are huge, so bring your appetite!!
 

 Tonight I went back solo. It is at this point that I should tell you that this is not only a top-quality Asian restaurant, but also one of the finest cigar bars that I have ever been to, and I have been to a lot of them. If you want to watch the big game they have four flat panel tVs that will allow you to watch whatever you want. Tonight I watched Alabama beat on Mizzou.
 

 The staff, including the bartender Ben, are very attentive. I cannot say enough about the kind hearted and beautiful wait staff, Kim was my waitress along with another young lady whose name I forget, but she was absolutely wonderful, too.
 

 Tonight I started with the Vietnamese summer rolls I had one of shrimp and another a barbecue pork, the pork was a powerhouse of flavor. The shrimp was fresh and the rolls were crisp and delightful. I then moved on to the ahi tuna appetizer, one of the best that I've had. I am not damning these people with false praise, the food is just that good. I then had the most unique preparation of steak that I have ever experienced. Steak Tisho is filet mignone sliced paper thin and presented raw with butter and garlic. The server then ""cooks it"" with a torch at table side. This is not a ribeye, it is a small portion maybe 3 ounces at most, it is packed with flavor and is delightful, so much so that it melts in your mouth. The entire experience was fantastic.
 

 Now word about their drinks list, they appear to have every type of scotch known to man. I had a 14-year-old Oban that was incredible. It was the perfect accompaniment to the cigar I had. It was a La Aurora Puro, and was from a limited series of 1000 boxes. Very impressive. Later I had a glass of Talisker with a nice Arturo Fuente. Ben is a cigar lover and we talked about the smokes in the humidor.
 

 Everything in the bar was top shelf. The humidor was extensive. I will be back again and again.",0,1,0,0,0,1,0,0,0,1,1,0,0
540705,fmRCWsNAQvCGiLwM69QmXA,"I only ordered to go which was okay but not great. The inside is gloomy I went for lunch during the week and it was pretty empty inside. 
 

 I will go again if I need a quick sushi fix and don't want to drive far.",0,-1,0,0,0,0,0,0,0,0,0,0,0
